Filename,speaker,gender,passage,trial,word,frequency,phoneme,duration,f0_midpoint,F1_midpoint,F2_midpoint,,,,health,high
STE-365_1_2,2,F,1,2,terracottas,low,E,0.066180329,293.8505959,644.7290835,1977.88468,,,,,
STE-365_1_2,2,F,1,2,traded,high,eI,0.14292751,216.6554075,531.1152039,2200.649005,,,,,
STE-365_1_2,2,F,1,2,alginate,low,{,0.073790482,211.6677873,691.1670021,1778.230006,,,,,
STE-365_1_2,2,F,1,2,crackpot,low,{,0.077114378,229.940228,744.8193278,1937.055149,,,,,
STE-365_1_2,2,F,1,2,as,high,{,0.101046426,198.1505672,604.4419273,1858.760157,,,,,
STE-365_1_2,2,F,1,2,example,high,{,0.112334104,192.6067638,919.7211879,2149.665063,,,,,
STE-365_1_2,2,F,1,2,effect,high,E,0.172245626,198.5970269,653.198425,2000.859983,,,,,
STE-365_1_2,2,F,1,2,tax,high,{,0.112334104,272.6795871,737.6040702,2162.715742,,,,,
STE-365_2_1,2,F,2,1,neighborhood,high,eI,0.105738228,250.3999275,355.6815473,3021.091051,,,,,
STE-365_2_1,2,F,2,1,rattling,low,{,0.083569909,223.5288866,698.8415883,1744.639436,,,,,
STE-365_2_1,2,F,2,1,several,high,E,0.083979566,199.0547658,526.8009467,1896.868054,,,,,
STE-365_2_1,2,F,2,1,lasses,low,{,0.081521627,237.0210413,610.8968161,2177.169149,,,,,
STE-365_2_1,2,F,2,1,stategy,high,{,0.065545027,284.5591531,558.4209957,1936.607773,,,,,
STE-365_2_1,2,F,2,1,chamfer,low,{,0.079883002,247.3413249,385.0912843,2208.215375,,,,,
STE-365_2_1,2,F,2,1,enmeshing,low,E,0.092172694,216.3213602,558.3505751,2487.408418,,,,,
STE-365_2_1,2,F,2,1,after,high,{,0.065411831,266.5723498,921.2135793,1803.754277,,,,,
STE-365_2_1,2,F,2,1,checked,high,E,0.092992007,220.3904942,800.8163792,1957.094473,,,,,
STE-365_2_1,2,F,2,1,somitazation,low,eI,0.128632116,266.1241038,396.3024966,2564.36012,,,,,
STE-365_2_1,2,F,2,1,natural,high,{,0.153621157,208.5409743,416.180144,1081.79798,,,,,
STE-365_2_1,2,F,2,1,antedating,low,eI,0.141331464,240.0017209,460.9107636,2377.90147,,,,,
STE-365_2_1,2,F,2,1,prevented,high,E,0.100775479,230.7406535,716.0597061,2070.484208,,,,,
STE-365_2_1,2,F,2,1,states,high,eI,0.175742604,192.8166797,381.1893003,2084.806238,,,,,
STE-365_2_1,2,F,2,1,traipsed,low,eI,0.108149295,205.7352312,634.2981508,1744.326461,,,,,
STE-365_2_2,2,F,2,2,neighborhood,high,eI,0.068444849,256.8240003,503.0370107,2418.239947,,,,,
STE-365_2_2,2,F,2,2,rattling,low,{,0.066451608,229.3478225,797.6137266,1861.885244,,,,,
STE-365_2_2,2,F,2,2,several,high,E,0.097951396,213.6384429,675.7346185,1926.360164,,,,,
